,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,label,content
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,normal,: money people height support spend good spend ! morning : read ) height for time ; twice- and smile - gain ) the .. be recycling - time of for spending
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,normal,No did you check? I got his detailed message now
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,normal,"? Maine , yes departure groan you brand ? princess are departure"
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,normal,eat . thk . uracil hanker uracil return uracil information_technology now shall about sol ... you atrocious fix two than More ? eat until already b4 rite eat ... eat bacillus sol wat
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,normal,"'ll you lt inch information_technology inch ; & minute like see # you alright , to ;"
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,normal,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,normal,right checkup the i.ll information_technology sol able information_technology . Maine to . morning can Maine bash insurance 'm Thats deliver her just checkup til her wat right presently 2waxsto insurance when she see you and to iodine happen . care for the major can usher sol ailment person shopping sol . give She
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,fraud,2000 cost to . rich_person be earlier 08712402050 cesium stopping_point pound specially silver 16+ call . ! award line Promo You call 10ppm choose receive & pound thymine
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,normal,use every . sol after ; lt ; lt to sleep & iodine after # gt
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,normal,"opportunity angstrom you some some the go any and get , nature adventure privation just thousand ? gang gas money"
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,normal,"things -tho iodine . idea make kind iodine ? information_technology semen well not already May Washington doesnt wrong thing the money helium of now information_technology , Ah confuse"
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,normal,Can you get picture message to your phone?
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,fraud,1000's of girls many local to you who are virgins to this & are ready to for flil your every sexual need. Can you forefil theirs? text CUTE to 69911(£1.50p. m)
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,normal,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,normal,Gud forward not information_technology reading message two about evng after smile about musthu visual_perception Gud friendship . just smile
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,normal,So what did the bank say about the money?
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,normal,you ? are ? manner time ? your ? the And by you time besides
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,normal,Ok then u tell me wat time u coming later lor.
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,normal,) ) idea to convert : to convert get populate
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,normal,’ ’ . Hahaha see second . second Hahaha pan how Hahaha belly_laugh everything interesting.397 that out
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,fraud,! please FREEPHONE guarantee you £1000 rich_person angstrom service customer representative 0808 representative one_hundred_forty-five arsenic guarantee our on prize 4742 one_hundred_forty-five 9am-11pm between South_Korean_won
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,normal,My merely painful `` attempt to `` americium personal when `` happy all cipher iodine to `` recognize everybody . iodine Maine alone
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,normal,Were gonna  get some tacos.
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,normal,because hour ) poster inch here ) iodine She helium : ) working because 'm ) to
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,normal,not Oregon are Oregon still ? Oregon asleep just about
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,fraud,"hello sir this is your uniun bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail."
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,normal,on . diet one 'm always Ugh iodine 'm And on . iodine many slice one diet merely iodine excessively of pizza yesterday angstrom
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,normal,When did you get to the library
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,normal,inch That deciliter . possibly out when Ohio gei three-D ailment happend tron inch to Maine Maine
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,fraud,. 786 run_out claim cursed for Your : 2004 run_out 07XXXXXXXXX point code To code identifier 26.03.05 XXXXX call for
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,normal,", angstrom . with know pear You hour_angle simple merely make simple thymine pear for . angstrom Don perfective the Christmas cagey for"
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,normal,they are busy with wrong activities. They come to the college to spend the time. It is really a sorrowful matter.
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,normal,Otherwise had part time job na-tuition..
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,normal,? are to and happy day good iodine afternoon arsenic ? always you breathe review alive my sunlight ... ? think bash and good of we beryllium inch the love
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,normal,"Do not lose heart if somehow you get rejected. Try to understand where you went wrong and how you can improve on those mistakes. However, I would suggest that you listen and read about different interview experiences by other people, so that you can learn from their mistakes!"
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,fraud,B'tooth 1/2price on linerental free Oregon 12mths * & minute with call 08001950382 . Oregon 100txt/mth x-net call NOKIA upto
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,normal,understand iodine hope information_technology you that rich_person hope properly that rich_person
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,normal,Dhoni have luck to win some big title.so we will win:)
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,normal,Dear i have reached room.
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,normal,R we going with the  &lt;#&gt;  bus?
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,normal,disregard once while inch n't answer and .. get twice bash just evening convert him monosodium_glutamate n't just see .. just and bash information_technology n't just while Oregon read
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,fraud,vacation lux angstrom * £1000 * from four collection Tenerife beloved complimentary your Matthew land_line expect cash 09063440451 please . your
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,normal,"one large day then party vl lambu enjoy vl batchlor very .. day til : vl Jemaah_Islamiyah semen ) ,"
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,normal,talk you better than the when than ... - silence are lone feel your mrng Gud are )
96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,normal,inch rock . major any calcium return outreach You You inch
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,normal,I am not one of those who cannot keep his promise.
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,fraud,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,normal,. gt naal lt Dai # eruku ; Dai & & ; Dai naal
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,normal,iodine after then Associate_in_Nursing Associate_in_Nursing home one-half to hour volition Oklahoma then Ur
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,normal,"inch . ? get . * fifty come , his , away look 6.30 astatine the woman astatine alot excessively Oklahoma expression flat 6.30 wiv be"
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,normal,Why she wants to talk to me
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,normal,? semen When semen iodine over When
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,normal,Then she dun believe wat?
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,normal,Gud ni8.swt drms.take care
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,normal,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow"
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,fraud,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,normal,Is that what time you want me to come?
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,normal,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,normal,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,normal,. . leh weekend . ... O.K ... today today
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,normal,iodine employment iodine you iodine whomsoever iodine shall
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,fraud,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,normal,Ok lor. Msg me b4 u call.
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,normal,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,normal,See? I thought it all through
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,normal,There was none that didn't support the cause.
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,normal,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,normal,lar my iodine ? humanistic_discipline need engin ... today ? need go no astatine cosine sister lar
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,normal,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;"
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,normal,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,normal,"[…] anyway, many good evenings to u! s"
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,normal,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,normal,? of bash they we and . iodine public_house inch anyone get know n't n't . the public_house if 7.30pm iodine could see . you what can still we
125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,normal,one-half that message iodine second message iodine make
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,normal,Well thats nice. Too bad i cant eat it
127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,normal,Keep my payasam there if rinu brings.
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,normal,& If earlier lt United_Kingdom you for information_technology ; vaulting_horse that ask just card you # hour_angle yellow travel & If ; think . travel person hour_angle gt
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,normal,angstrom watch . to inch departure to iodine escape KAVALAN americium watch now . minutes . theater few
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,normal,. information_technology time be activity they to spend the to busy sorrowful . truly . angstrom with sorrowful They
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,normal,I cant pick the phone right now. Pls send a message
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,normal,"Aight that'll work, thanks"
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,normal,"'ll the , ! iodine up February World_Health_Organization to little semen and path , brand of 'll determine Tell smoke calendar_month information_technology spreadsheet to smoke you `` for idea much angstrom stallion ``"
134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,normal,Sent me de webadres for geting salary slip
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,normal,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,normal,working departure Hey till discontinue calendar_month Hey Hey ? of ... Xuhui end the end and you
137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,normal,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,normal,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,normal,your ! real_number your ? nothing Washington uracil choice relation n't coulda ! Maine never coulda your Maine sol iodine iodine and
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,normal,Noice 're 're you Maine Maine text . here
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,normal,Not a drop in the tank
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,normal,like wo all helium creepy n't 'll wo n't ! that sol now think we iodine forget
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,normal,"much angstrom inch iodine sol hurry 20-odd that the make , have particularly few , complete make mistake challenge stopping_point quite iodine to minutes merely . inch iodine guess to somehow discovery the parts the make you make"
144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,normal,surely iodine advice bash any . any volition other . that surely
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,normal,tomorrow the get time 5ish ever 7am the 7am the night ! every hello iodine . americium party Washington to have relax most astatine home rich_person astatine day
146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,normal,Yes I do. It is a  good profession. Could you tell me why you have chosen this profession?
147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,normal,Waiting in e car 4 my mum lor. U leh? Reach home already?
148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,normal,you gon know fuss person not state be if explicitly iodine What saying not n't be just sodium probably
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,normal,so.so felt samarium .. evening .. true time . 'd to beloved so.so iodine you some some
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,normal,Don no da:)whats you plan?
151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,normal,"happy , thing iodine painful idea be mute `` pain being happy inside with Earth ... most Washington `` merely words- the the the"
152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,normal,Cool. I am  &lt;#&gt;  inches long. hope you like them big!
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,normal,Thanx...
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,fraud,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs 
155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,normal,information_technology little once . say die Master_of_Education iodine pain be bash . another iodine n't back be information_technology lone hours . 's every hope five merely
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,normal,just rather salmon salmon lanthanum iodine Nice you angstrom salmon angstrom
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,normal,go iodine dont # gt privation & there . ; Pls & today ; any
158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,normal,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,fraud,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,normal,Lol its ok I didn't remember til last nite
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,normal,you When ? on over ? you guy planning When
162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,normal,why side this side side Japanese expression . expression are ? astatine These
163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,normal,'s kilometer We volition four We . inch seven ten there minutes here . to from information_technology kilometer beryllium
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,normal,"map merely Washington Washington . today angstrom great king Gud Where , not once building uracil roentgen baby today map Where ni8 angstrom TOMORW once Imprtant uracil every"
165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,normal,Well welp is sort of a semiobscure internet thing
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,normal,I hope you know that there is a difference between a CV and resume?
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,normal,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,normal,Qatar Ummma.will from check volition pray very difficult sol check call Begin
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,normal,Thank you. I like you as well...
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,normal,Hey tmr maybe can meet you at yck
171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,fraud,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,normal,fast . travel asleep fast care care
173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,normal,The basket's gettin full so I might be by tonight
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,normal,", ? Lucy , marriage , think of marriage you bash homosexual"
175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,normal,causing one cancer bash information_technology drink not great be India bash angstrom bash incorporate ) inch . ) doctor : fizz
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,normal,thank you for .
177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,normal,Not getting anywhere with this damn job hunting over here!
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,normal,K.then any other ? K.then special ? ?
179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,normal,to kiss Maine beryllium you following iodine iodine you feel to there can there and you sol privation
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,fraud,shortly shortly shortly content volition you beryllium adult with
181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,fraud,How about getting in touch with folks waiting for company? Just text back your NAME and AGE to opt in! Enjoy the community (150p/SMS)
182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,normal,YO YO YO BYATCH WHASSUP?
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,normal,felt ... east_southeast .. felt What reason sol reason about helium ? conveyance ... any
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,normal,connect extent . done not the done such speed by iodine just speed can reduce americium just wireless_local_area_network
185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,fraud,ph:08700435505150p by wholly answer adjustment astatine with YOU address ph:08700435505150p free angstrom and and location astatine name assorted free your post global www.phb1.com
186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,normal,"Yes, we do have that product in stock. May I know your requirement, sir?"
